codfabnumero;codnotafiscal;ean;descricao;preco_compra
50518857;50518857;7909883242541;TODODIA HID BUQ DE FLORES MAOS RAM 50ML;14,11
50451421;50451421;7909883096809;EKOS HID BRUMA ACAI 100ML;15,54
50474213;50474213;7909883146856;ESSENCIAL DES HID SUPREME 100ML;17,4
50459950;50459950;7909883126407;UNA PALETTE MULTIFUNCIONAL TAYLOR TERC;72,6
50374194;50374194;7908132220170;TODODIA SAB BARRA MACADAMIA 5X90G NV;21,2
50407711;50407711;7909883004903;EKOS SAB BARRA MONOPACK MARACUJA 4X100G;27,73333333
50422457;50422457;7908240820781;TODODIA HID DES CORP ACEROLA 400ML;39,55
50412603;50412603;7909883013103;FACES BATOM MATTE MARSALA;11,74666667
50412621;50412621;7909883013288;FACES BATOM MATTE COOKIE NUDE;11,745
50412615;50412615;7909883013226;FACES BATOM MATTE VINHO IN LOVE;11,745
50412638;50412638;7909883013455;FACES BATOM MATTE QUEEN OF RED;11,745
50412625;50412625;7909883013325;FACES BATOM MATTE PURPLE RAIN;11,75
50412616;50412616;7909883013233;FACES BATOM MATTE PERFECT PINK;11,75
50412624;50412624;7909883013318;FACES BATOM MATTE RED SQUARE AMOR;11,75
50459521;50459521;7909883126001;UNA BATOM EXT CONFORTO FPS25 ROSA;29,17
50264598;50264598;7908132207348;UNA BATOM CC HIDRAT FPS25 ROSE 4C;34,69
50495225;50495225;7909883197414;SACOLA DE PRESENTE MINI;2,65
50505958;50505958;7909883217754;TODODIA GLOSS MELANC E AGUA DE COCO 10ML;16,47
50483860;50483860;7909883167844;TODODIA GLOSS MANG ROSA AGUA COCO 10ML;16,47
50505959;50505959;7909883217761;TODODIA GLOSS MACA E AGUA DE COCO 10ML;16,47
50558279;50558279;7909883308728;HUMOR PRIMEIRO GELEIA DES HID CORP 75G;12,94
50531787;50531787;7909883263249;HUMOR DES HID PROPRIO CORP GEL ILUM 200G;32,38
50399289;50399289;7908016651762;HUMOR DES COL FEM MEU PRIME HUM T18 75ML;57,92
50420232;50420232;7899563287330;HUMOR MEU PRIMEIRO HUMOR DES C 100ML NV;20,535
50495341;50495341;7909883197476;SACOLA DE PRESENTE P;2,205
50514698;50514698;7909883234027;EAU DE PARFUM NATURA AURA ALBA 75 ML;152,46
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;3,73
50574289;50574289;7909883260538;AURA ALBA SAB BAR 2X90G;31,63
50529009;50529009;7909883260484;HIDRA MAOS NATURA AURA ALBA 40G;30,36
50420233;50420233;7908240893501;ESSENCIAL CLAS DES CORP MASC 100ML;24,705
50495341;50495341;7909883197476;SACOLA DE PRESENTE P;2,115
50314403;50314403;7908132288569;ESSENCIAL DEO PARFUM MASCULINO 100ML;100,04
50314403;50314403;7908132288569;ESSENCIAL DEO PARFUM MASCULINO 100ML;100,215
50420233;50420233;7908240893501;ESSENCIAL CLAS DES CORP MASC 100ML;24,755
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;2,125
50558270;50558270;7909883308636;ESSENCIAL SH CLASICO MASC 300ML;18,29
50491678;50491678;7909883191009;KRISKA DES COL DRAMA 25ML;28,71
50591126;50591126;7909883197476;SACOLA DE PRESENTE P 2 V2;2,56
50278063;50278063;7908016615863;KRISKA DRAMA DES COL 100ML SEM FIRB;69,45
50576826;50576826;7908132226295;EKOS SAB LIQ MAOS PIT ANGAT 250ML;28,25
50449723;50449723;7908132226172;EKOS RF SAB LIQ MAOS PITANGA 250ML;20,96
50419962;50419962;7908240805962;BIOGRAFIA MASC DES CORPORAL 100ML NV;21,745
50495341;50495341;7909883197476;SACOLA DE PRESENTE P;2,345
50275959;50275959;7908132240857;BIOGRAFIA DES COL MASC 100ML;79,185
50473791;50473791;7909883146443;FACES BATOM LAPIS MATTE MARROM 1,2G TERC;11,05
50237413;50237413;7908016621185;CHRONOS DEMAQUILANTE MICELAR REF;17,2375
50400632;50400632;7908132207935;UNA BLUSH RF CORAL PE BLISTER TERC;47,2
50534881;50534881;7909883270056;TODODIA BATOM HID MACA DO AMOR 10ML;8,688333333
50553123;50553123;7908371674857;UNA RF PO COMP NUDE ME 27N 10G TERC;45,11
50476884;50476884;7909883156381;UNA BRUMA FACIAL HID FIXADORA 100ML;31,21
50450331;50450331;7899563279298;UNA PRIMER BLUR BF 30ML;37,46666667
61001254;61001254;7909883431808;ESP NATURA C17 2025 NE NO RJ-ES CO MG V2;4,46
50306150;50306150;7908240833330;SACOLA G PAIS 2020;7,65
50413175;50413175;7909883014001;CAIXA TRANSVERSAL SELO G;7,94
