codfabnumero;codnotafiscal;ean;descricao;preco_compra
50471148;50471148;7909883143008;LUMINA COND MASC ANTIQUE 50ML PS;13,15
50460803;50460803;7909883127787;LUMINA SH ANTIQUEDA 300ML PS;21,8
50460837;50460837;7909883128128;LUMINA COND ANTIQUEDA 300ML PS;23,03
50569899;50569899;7909883344276;SEVE RF OLEO DES AMEND ORQU NEGR 200ML;37,06
50452466;50452466;7909883097844;SEVE OLEO DES HID AMEN ORQ NEGR 200ML;43,44
50391674;50391674;7908371603574;FACES ROSTO SERUM GEL BOOSTER 35G;27,67
50384292;50384292;7908132257244;FACES BATOM MULTIMIX CREM COBRE SUNSET;10,9
50505968;50505968;7909883217853;FACES BATOM MULTIMIX CREM HEY HONEY;10,9
50505972;50505972;7909883217891;FACES BATOM MULTIMIX CREM COBRE SUNSET;10,9
50384290;50384290;7908132256094;FACES BATOM MULTIMIX CREM ROSA CRUSH;10,9
50384137;50384137;7908132255875;FACES BATOM MULTIMIX CREM BEGE FRESH;10,9
50550384;50550384;7908132257497;FACES BATOM MULTM CREM BROKEN BROWN 3,5G;10,9
50356499;50356499;7908371657171;UNA CORRETIVO CUSHION NUDE ME 24N;56,7
50412621;50412621;7909883013288;FACES BATOM MATTE COOKIE NUDE;14,77
50424995;50424995;7909883043728;FESTIVAL DE HUMOR DES COL 75ML;99,9
50564861;50564861;7909883337520;LUMINA COND MASCARA MONTADO 3X200ML;83,79
50305781;50305781;7908240832685;TODODIA DES CREME ALGODAO INVISIVEL 80G;19,93
50316472;50316472;7908132209533;MMBB SAB BARRA 5X100G;24,445
50545959;50545959;7908240820651;EKOS POLPA HID MAOS CAST 40G;19,285
50341927;50341927;7908371629567;NATURE SH CAB LISO E ONDULADO 250ML;19,29
50535545;50535545;7909883271084;TODODIA DES ROLLON NOIT DE VERAO 70ML;19,29
50495226;50495226;7909883197421;SACOLA P PACK 3;9,49
50550351;50550351;7909883285319;EKOS AMOS DES COL RYOS FLORE 3X1ML TERC;2,1
50369192;50369192;7899563284438;NATURA HOMEM CLAS DES COL AMO 3X1ML TERC;2,1
50502181;50502181;7909883210762;ESSENCIAL AMT DEOPAR ATRAI FE 3X1MLTERC;2,1
50535545;50535545;7909883271084;TODODIA DES ROLLON NOIT DE VERAO 70ML;19,29
